Nom de la gare;UIC;Code postal;Segmentation marketing;Segmentation décret;Agence;Voyageurs 2014
Vendeuvre;118257;10140;4;c;Est-Européen;45 293
Bayard;175133;52170;5;c;Est-Européen;1 887
Bologne;142224;52310;5;c;Est-Européen;2 164
Chaumont;142000;52000;3;b;Est-Européen;404 874
Chevillon;175117;52170;5;c;Est-Européen;2 791
Culmont-Chalindrey;142125;52600;4;c;Est-Européen;91 414
Donjeux;142273;52300;5;c;Est-Européen;4 928
Eurville;175141;52410;5;c;Est-Européen;944
Froncles;142240;52320;5;c;Est-Européen;31 387
Fronville;175075;52300;5;c;Est-Européen;922
Gudmont;142265;52320;5;c;Est-Européen;1 803
Joinville;175091;52300;4;c;Est-Européen;62 904
Langres;142091;52200;4;c;Est-Européen;80 324
Merrey;142406;52240;4;c;Est-Européen;0
Saint-Dizier;175000;52100;4;b;Est-Européen;216 510
Vignory;142232;52320;5;c;Est-Européen;4 516
Vraincourt;143024;52310;5;c;Est-Européen;5 941
Avenay;171579;51160;5;c;Est-Européen;29 788
Ay;171561;51160;5;c;Est-Européen;64 764
Bazancourt;171462;51110;5;b;Est-Européen;170 592
Blesme-Haussignemont;174326;51340;5;;Est-Européen;0
Bouy;174433;51400;5;c;Est-Européen;1 602
Breuil-Romain;171322;51140;5;c;Est-Européen;29 185
Courcy-Brimont;171710;51220;5;c;Est-Européen;23 243
Dormans;171512;51700;4;c;Est-Européen;104 317
Fismes;171330;51170;4;b;Est-Européen;207 321
Franchet d'Esperey;417444;51100;5;c;Est-Européen;52 359
Germaine;171587;51160;5;c;Est-Européen;21 796
Jonchery sur Vesle;171314;51140;5;b;Est-Européen;104 214
Loivre;171728;51220;5;c;Est-Européen;32 334
Magneux Courlandon;400986;51170;5;c;Est-Européen;16 428
Montbré;171256;51500;5;c;Est-Européen;3 883
Mourmelon le Petit;174409;51400;4;c;Est-Européen;74 668
Muizon;171298;51140;5;c;Est-Européen;84 254
Poix Terron;172171;51460;5;c;Est-Européen;53 712
Prunay;171629;51360;5;c;Est-Européen;21 696
Reims Maison Blanche;171272;51300;5;c;Est-Européen;41 628
Rilly la Montagne;171595;51500;5;c;Est-Européen;76 040
Sept Saulx;171645;51400;5;c;Est-Européen;5 574
Sillery;171637;51500;5;c;Est-Européen;2 082
Sainte-Ménéhould;174870;51800;4;c;Est-Européen;4 011
Saint-Hilaire au Temple;174441;51400;5;c;Est-Européen;825
Suippes;174821;51600;4;c;Est-Européen;5 025
Trois Puits;171264;51500;5;c;Est-Européen;549
Val de Vesle;171611;51360;5;c;Est-Européen;11 742
Vitry le François;174276;51300;4;b;Est-Européen;236 893
Auboue;191684;54580;5;c;Est-Européen;5 912
Audun le Roman;194357;54560;5;c;Est-Européen;8 558
Azerailles;141408;54122;5;c;Est-Européen;15 915
Baccarat;141416;54120;4;b;Est-Européen;150 952
Bainville;141531;54550;5;c;Est-Européen;7 597
Bayon;141218;54290;5;b;Est-Européen;148 497
Belleville (Lorraine);141804;54940;5;c;Est-Européen;33 010
Blainville-Damelevières;141135;54360;4;b;Est-Européen;303 698
Champigneulles;141085;54250;5;c;Est-Européen;19 817
Chenevieres;141382;54122;5;c;Est-Européen;3 548
Conflans Jarny;192666;54800;4;b;Est-Européen;137 956
Diarville;141648;54930;5;c;Est-Européen;2 889
Dieulouard;141812;54380;4;b;Est-Européen;118 682
Dombasle sur Meurthe;141119;54110;5;b;Est-Européen;311 343
Fontenoy sur Moselle;141051;54840;5;c;Est-Européen;4 081
Foug;141036;54570;5;c;Est-Européen;8 297
Frouard;141077;54390;4;c;Est-Européen;44 257
Hatrize;192724;54800;5;c;Est-Européen;2 022
Homecourt;191692;54310;5;c;Est-Européen;29 820
Houdemont;141473;54180;5;c;Est-Européen;5 047
Igney Avricourt;215103;54450;5;c;Est-Européen;24 624
Jarville la Malgrange;141010;54140;5;c;Est-Européen;35 851
Joeuf;191700;54240;4;c;Est-Européen;38 639
Laneuveville devant Nancy;141093;54410;5;c;Est-Européen;12 193
Liverdun;141069;54460;5;c;Est-Européen;20 411
Longuyon;194274;54260;4;c;Est-Européen;76 700
Longwy;194001;54400;3;b;Est-Européen;452 072
Ludres;141481;54710;5;c;Est-Européen;20 715
Lunéville;141150;54300;3;b;Est-Européen;946 546
Marbache;141796;54820;5;c;Est-Européen;18 798
Menil Flin;141390;54200;5;c;Est-Européen;2 043
Messein;141499;54850;5;c;Est-Européen;18 328
Mont sur Meurthe;141143;54360;5;c;Est-Européen;11 273
Neuves Maisons;141507;54230;5;c;Est-Européen;36 359
Onville;192435;54890;5;c;Est-Européen;12 895
Pagny sur Moselle;192468;54530;4;b;Est-Européen;348 998
Pierreville;141556;54160;5;c;Est-Européen;1 866
Pompey;141788;54340;5;c;Est-Européen;66 762
Pont à Mousson;141820;54700;4;b;Est-Européen;1 021 713
Pont Saint-Vincent;141523;54550;4;c;Est-Européen;57 880
Praye sous Vaudemont;141622;54116;5;c;Est-Européen;3 262
Pulligny Autrey;141564;54160;5;c;Est-Européen;854
Rosieres aux Salines;141127;54110;5;b;Est-Européen;136 834
Saint-Clement Laronxe;141374;54950;5;c;Est-Européen;32 361
Tantonville;141598;54116;5;c;Est-Européen;383
Toul;141044;54200;4;b;Est-Européen;225 583
Valleroy Moineville;192732;54910;5;c;Est-Européen;13 543
Vandieres;192476;54121;5;c;Est-Européen;9 854
Varangeville Saint-Nicolas;141101;54110;4;b;Est-Européen;264 845
Vézelise;141606;54330;4;c;Est-Européen;21 391
Xeuilley;141549;54990;5;c;Est-Européen;7 442
Baroncourt;192658;55240;4;c;Est-Européen;12 417
Clermont en Argonne;175737;55120;5;c;Est-Européen;154
Commercy;175257;55200;4;b;Est-Européen;176 709
Etain;175794;55400;5;c;Est-Européen;84 543
Les Islettes;175711;55120;5;c;Est-Européen;71
Montmédy;194209;55600;4;c;Est-Européen;9 368
Nançois-Tronville;175067;55500;5;c;Est-Européen;1 244
Pagny sur Meuse;175828;55190;5;c;Est-Européen;5 500
Revigny;175018;55800;4;c;Est-Européen;100 807
Verdun;175778;55100;4;b;Est-Européen;142 823
Ancy sur Moselle;192419;57130;5;c;Est-Européen;58 736
Anzeling;191387;57320;5;c;Est-Européen;1 668
Apach Moselle;191643;57480;5;c;Est-Européen;1 326
Ars sur Moselle;192401;57130;4;b;Est-Européen;141 659
Basse Ham;191601;57110;5;c;Est-Européen;1 393
Benestroff;192302;57670;5;c;Est-Européen;6 540
Bening;193250;57800;4;b;Est-Européen;125 446
Berthelming;215335;57930;5;c;Est-Européen;19 411
Bitche;193821;57230;4;c;Est-Européen;27 488
Bouzonville;193177;57320;4;c;Est-Européen;32 331
Courcelles sur Nied;192211;57530;5;c;Est-Européen;31 225
Distroff;191320;57134;5;c;Est-Européen;24 046
Ebersviller;191379;57320;5;c;Est-Européen;6 698
Enchenberg;193805;57415;5;c;Est-Européen;10 757
Farebersviller;193516;57450;5;c;Est-Européen;2 169
Farschviller;193524;57450;5;c;Est-Européen;18 415
Faulquemont;193359;57380;4;b;Est-Européen;193 418
Freistroff;191395;57320;5;c;Est-Européen;2 471
Gandrange Amneville;191742;57175;5;c;Est-Européen;9 280
Hagondange;191114;57300;4;b;Est-Européen;1 156 160
Hayange;191239;57700;4;c;Est-Européen;23 500
Herny;193383;57580;5;c;Est-Européen;14 233
Hettange Grande;191163;57330;5;b;Est-Européen;468 452
Hombourg Budange;191353;57920;5;c;Est-Européen;1 993
Hombourg Haut;193276;57470;5;c;Est-Européen;5 156
Hundling;193540;57990;5;c;Est-Européen;35 787
Kalhausen;193664;57412;4;c;Est-Européen;12 794
Kedange;191346;57920;5;c;Est-Européen;8 916
Koenigsmacker;191619;57110;5;c;Est-Européen;1 391
Kuntzig;191312;57110;5;c;Est-Européen;1 118
Lemberg;193813;57620;5;c;Est-Européen;5 870
Lutzelbourg;215160;57820;5;c;Est-Européen;57 752
Maizières les Metz;191106;57210;4;b;Est-Européen;229 325
Malling;191627;57480;5;c;Est-Européen;451
Metz Nord;192070;57000;5;c;Est-Européen;12 822
Metzervisse;191338;57940;5;c;Est-Européen;7 590
Morhange;192286;57340;4;b;Est-Européen;90 920
Moyeuvre Grande;191718;57250;5;c;Est-Européen;31 315
Noveant;192427;57680;5;b;Est-Européen;130 286
Peltre;192203;57245;5;c;Est-Européen;51 635
Petit Rederching;193797;57410;5;c;Est-Européen;5 497
Réding;215079;57444;5;c;Est-Européen;34 899
Rémelfing;193623;57200;5;c;Est-Européen;9 620
Remilly;192237;57580;4;b;Est-Européen;225 712
Rohrbach les Bitche;193789;57410;5;c;Est-Européen;1 793
Rombas-Clouange;191734;57120;4;c;Est-Européen;77 606
Sanry sur Nied;192229;57530;5;c;Est-Européen;13 451
Sarralbe;193714;57430;4;c;Est-Européen;5 563
Sarrebourg;215012;57400;3;b;Est-Européen;705 818
Sarreguemines;193615;57200;4;b;Est-Européen;420 384
Sarreinsming;193631;57115;5;c;Est-Européen;3 195
Sierck les Bains;191635;57480;5;c;Est-Européen;4 246
Saint-Avold;193318;57500;4;b;Est-Européen;269 765
Teting;193342;57114;5;c;Est-Européen;2 297
Uckange;191130;57270;5;b;Est-Européen;178 752
Walygator parc;191098;57433;5;c;Est-Européen;5 769
Wittring;193656;57137;5;c;Est-Européen;14 808
Woelfling les Sarreguemines;193771;57200;5;c;Est-Européen;228
Woippy;192088;57140;5;c;Est-Européen;88 907
Yutz;191304;57110;5;c;Est-Européen;685
Zetting;193649;57115;5;c;Est-Européen;15 781
Arches;144410;88380;4;c;Est-Européen;61 483
Bains les Bains;144147;88240;5;c;Est-Européen;3 208
Bertrichamps;141424;54120;5;c;Est-Européen;7 055
Biffontaine;144188;88430;5;c;Est-Européen;3 597
Bruyeres;144154;88600;4;c;Est-Européen;61 333
Ceintrey;141572;54109;5;c;Est-Européen;6 225
Charmes Vosges;144055;88130;4;b;Est-Européen;283 757
Chatel Nomexy;144071;88330;5;b;Est-Européen;119 068
Colroy Lubine;144386;88490;5;c;Est-Européen;426
Contrexéville;144287;88140;4;c;Est-Européen;45 871
Corcieux Vanemont;144196;88430;5;c;Est-Européen;6 098
Damblain;142497;88320;5;c;Est-Européen;414
Docelles-Cheniménil;144030;88460;5;c;Est-Européen;5 362
Einvaux;141200;54360;5;c;Est-Européen;8 133
Eloyes;144436;88510;5;c;Est-Européen;30 877
Etival Clairefontaine;144642;88480;4;c;Est-Européen;60 157
Hymont Mattaincourt;144220;88500;5;c;Est-Européen;1 316
Igney;144089;88150;5;c;Est-Européen;12 125
Lamarche;144303;88320;5;c;Est-Européen;1 196
Laveline devant Bruyeres;144162;88600;5;c;Est-Européen;10 506
Lepanges;144048;88600;5;c;Est-Européen;4 787
Lesseux-Frapelle;144329;88490;5;c;Est-Européen;664
Martigny les Bains;144295;88320;5;c;Est-Européen;13 570
Mirecourt;144212;88500;4;b;Est-Européen;151 858
Neufchâteau;141291;88300;4;c;Est-Européen;73 344
Pouxeux;144428;88550;5;c;Est-Européen;6 809
Provencheres sur Fave;144345;88490;5;c;Est-Européen;5 139
Raon l'Etape;144626;88110;4;b;Est-Européen;111 722
Raves Ban de Laveline;144105;88520;5;c;Est-Européen;2 632
Remiremont;144451;88200;4;b;Est-Européen;269 118
Rozieres sur Mouzon;144311;88320;5;c;Est-Européen;0
Saint-Leonard;144477;88650;5;c;Est-Européen;12 086
Saint-Michel sur Meurthe;144683;88470;5;c;Est-Européen;1 732
Saint-Nabord;146217;88200;5;c;Est-Européen;3 389
Saint-Dié des Vosges;144014;88100;4;b;Est-Européen;410 213
Thaon;144097;88150;4;b;Est-Européen;281 450
Thiaville;141432;54519;5;c;Est-Européen;2 994
Vincey;144063;88450;5;c;Est-Européen;25 064
Vittel;144279;88800;4;c;Est-Européen;61 819
Xertigny;144121;88220;5;c;Est-Européen;1 018
Angerville;543090;91670;4,1;c;Ile-de-France;129 600
Arpajon;545467;91290;4,1;b;Ile-de-France;1 407 941
Athis Mons;545251;91200;4,1;b;Ile-de-France;1 414 800
Ballancourt;681437;91610;4,1;b;Ile-de-France;534 600
Bièvres;393546;91570;4,1;b;Ile-de-France;523 800
Boigneville;684407;91720;5,1;c;Ile-de-France;27 000
Bouray;545178;91850;4,1;b;Ile-de-France;1 366 200
Boussy Saint-Antoine;682138;91800;3,1;b;Ile-de-France;2 964 600
Boutigny;681478;91820;4,1;b;Ile-de-France;248 400
Le Bras de Fer ;681395;91000;4,1;b;Ile-de-France;2 284 200
Brétigny;545194;91220;3,1;b;Ile-de-France;5 761 782
Breuillet-Bruyères le Châtel;545483;91650;4,1;b;Ile-de-France;486 000
Breuillet Village;545491;91650;4,1;b;Ile-de-France;545 400
Brunoy;682120;91800;3,1;b;Ile-de-France;5 085 286
Buno Gironville;681510;91720;5,1;c;Ile-de-France;64 800
Chamarande;545152;91730;4,1;b;Ile-de-France;237 600
Chilly Mazarin;393637;91380;4,1;b;Ile-de-France;918 000
Corbeil Essonnes;681007;91100;3,1;b;Ile-de-France;5 524 200
Le Coudray-Montceaux ;681635;91830;5,1;c;Ile-de-France;59 400
Dourdan;545525;91410;4,1;b;Ile-de-France;723 600
Dourdan la Forêt;540179;91410;5,1;b;Ile-de-France;205 200
Egly;545475;91520;4,1;b;Ile-de-France;442 800
Epinay sur Orge;545228;91360;3,1;b;Ile-de-France;2 781 000
Essonnes Robinson;681601;91100;4,1;b;Ile-de-France;237 600
Etampes;545137;91150;4,1;b;Ile-de-France;2 409 274
Etréchy;545145;91580;4,1;b;Ile-de-France;810 000
Evry;681361;91000;4,1;b;Ile-de-France;977 400
Evry-Courcouronnes;681387;91000;3,1;b;Ile-de-France;8 741 664
La Ferté Alais ;681452;91590;4,1;b;Ile-de-France;550 800
Grand-Bourg;681353;91000;4,1;b;Ile-de-France;372 600
Gravigny Balizy;393645;91160;4,1;b;Ile-de-France;588 600
Grigny Centre ;681379;91350;3,1;b;Ile-de-France;5 135 400
Guillerval;545129;91690;5,1;c;Ile-de-France;21 600
Igny;393561;91430;4,1;b;Ile-de-France;442 800
Juvisy;545244;91260;3,1;b;Ile-de-France;32 383 800
Lardy;545160;91510;4,1;b;Ile-de-France;421 200
Longjumeau;393611;91160;4,1;b;Ile-de-France;615 600
Maisse;681486;91720;4,1;b;Ile-de-France;172 800
Marolles en Hurepoix;545186;91630;4,1;b;Ile-de-France;1 171 800
Massy-Palaiseau;393579;91300;3,1;b;Ile-de-France;4 026 927
Massy-Verrières;383281;91300;4,1;b;Ile-de-France;248 400
Mennecy;681411;91540;4,1;b;Ile-de-France;928 800
Monnerville;545111;91930;5,1;c;Ile-de-France;21 600
Montgeron-Crosne;682104;91230;3,1;b;Ile-de-France;3 526 200
Moulin Galant;681403;91100;4,1;b;Ile-de-France;772 200
La Norville Saint-Germain les Arpajon;545459;91290;4,1;b;Ile-de-France;572 400
Orangis Bois de l'Epine;681346;91130;4,1;b;Ile-de-France;2 489 400
Petit Vaux;393652;91360;4,1;b;Ile-de-France;329 400
Le Plessis Chenet;681627;91830;5,1;c;Ile-de-France;48 600
Ris Orangis;681338;91130;4,1;b;Ile-de-France;1 031 400
Saint-Chéron;545509;91530;4,1;b;Ile-de-France;507 600
Sainte-Geneviève des Bois;545210;91700;3,1;b;Ile-de-France;3 742 200
Saint-Martin d'Etampes;545350;91150;4,1;b;Ile-de-France;594 000
Saint-Michel sur Orge;545202;91240;3,1;b;Ile-de-France;2 802 600
Savigny sur Orge;545236;91600;3,1;b;Ile-de-France;6 409 800
Sermaise;545517;91530;4,1;b;Ile-de-France;97 200
Vigneux sur Seine;681304;91270;3,1;b;Ile-de-France;5 518 800
Villabé;681619;91100;4,1;b;Ile-de-France;205 200
Viry Châtillon;681312;91170;4,1;b;Ile-de-France;1 398 600
Yerres;682112;91330;3,1;b;Ile-de-France;3 615 332
Asnières sur Seine;381137;92600;3,1;b;Ile-de-France;10 474 288
Bécon les Bruyères;382002;92400;3,1;b;Ile-de-France;11 792 647
Bellevue ;393116;92360;4,1;b;Ile-de-France;1 258 200
Bois Colombes;381079;92270;3,1;b;Ile-de-France;4 519 800
Chaville Rive Droite;382333;92370;4,1;b;Ile-de-France;2 138 400
Chaville Rive Gauche;393207;92370;4,1;b;Ile-de-France;1 203 354
Chemin d'Antony;546317;92160;4,1;b;Ile-de-France;334 800
Clamart;391565;92140;4,1;b;Ile-de-France;3 109 646
Clichy-Levallois;381129;92110;3,1;b;Ile-de-France;8 569 800
Colombes;381087;92700;3,1;b;Ile-de-France;5 248 800
Courbevoie;382200;92400;3,1;b;Ile-de-France;3 712 718
La Défense ;382218;92800;3,1;b;Ile-de-France;27 457 435
Garches-Marnes la Coquette;382259;92380;4,1;b;Ile-de-France;1 738 800
La Garenne-Colombes ;386003;92250;3,1;b;Ile-de-France;3 742 200
Gennevilliers;271205;92230;4,1;b;Ile-de-France;2 256 309
Les Grésillons ;272146;92230;4,1;b;Ile-de-France;2 208 600
Issy;393074;92130;4,1;b;Ile-de-France;2 289 600
Issy Val de Seine;393306;92130;3,1;b;Ile-de-France;6 539 400
Meudon;393108;92190;4,1;b;Ile-de-France;1 193 083
Meudon Val Fleury;393082;92190;4,1;b;Ile-de-France;2 775 600
Nanterre Université;386318;92000;3,1;b;Ile-de-France;5 556 600
Puteaux;382382;92800;4,1;b;Ile-de-France;2 785 338
Saint-Cloud;382358;92210;3,1;b;Ile-de-France;8 553 600
Sèvres Rive Gauche;393124;92310;4,1;b;Ile-de-France;2 827 550
Sèvres Ville d'Avray;382341;92310;3,1;b;Ile-de-France;2 254 855
Le Stade;381095;92700;3,1;b;Ile-de-France;2 786 400
Suresnes Mont Valérien;382374;92150;4,1;b;Ile-de-France;2 526 978
Le Val d'Or ;382366;92210;4,1;b;Ile-de-France;1 630 704
Les Vallées ;386300;92250;3,1;b;Ile-de-France;3 596 400
Vanves-Malakoff;391532;92170;4,1;b;Ile-de-France;1 347 453
Vaucresson;382267;92420;4,1;b;Ile-de-France;1 447 200
"Avenue du Président Kennedy
 (Maison de Radio France) ";543207;75016;4,1;b;Ile-de-France;1 798 200
Avenue Foch;381038;75016;4,1;b;Ile-de-France;982 800
Avenue Henri Martin;381046;75016;4,1;b;Ile-de-France;901 800
Bibliothèque François Mitterrand;328328;75013;3,1;b;Ile-de-France;25 860 600
Boulainvilliers;543181;75016;3,1;b;Ile-de-France;4 017 600
Pont du Garigliano (Boulevard Victor);393322;75015;3,1;b;Ile-de-France;3 331 800
Champ de Mars -Tour Eiffel;393058;75015;3,1;b;Ile-de-France;11 815 200
Haussmann-Saint-Lazare;281899;75009;3,1;b;Ile-de-France;42 314 400
Invalides;393033;75007;3,1;b;Ile-de-France;11 280 600
Javel;393066;75015;3,1;b;Ile-de-France;3 348 000
Magenta;281873;75010;3,1;b;Ile-de-France;42 233 400
Musée d'Orsay;547307;75007;3,1;b;Ile-de-France;5 292 000
Neuilly Porte Maillot;381020;75017;3,1;b;Ile-de-France;6 436 800
Péreire Levallois;381012;75017;3,1;b;Ile-de-France;5 248 800
Pont de l'Alma ;393041;75007;3,1;b;Ile-de-France;4 163 400
Pont Cardinet;381111;75017;3,1;b;Ile-de-France;3 407 400
Porte de Clichy;111278;75017;3,1;b;Ile-de-France;4 390 200
Saint-Michel Notre-Dame;547315;75005;3,1;b;Ile-de-France;32 119 200
Bagneaux sur Loing;684191;77167;5,1;c;Ile-de-France;64 800
Bois le Roi;682203;77590;4,1;b;Ile-de-France;1 187 169
Boissise le Roi;682518;77310;5,1;b;Ile-de-France;113 400
Bourron Marlotte Grez;684118;77780;5,1;c;Ile-de-France;59 400
Cesson;682161;77240;4,1;b;Ile-de-France;1 733 400
Champagne sur Seine;682450;77430;4,1;b;Ile-de-France;414 120
Champbenoist-Poigny;115873;77160;5,1;b;Ile-de-France;108 000
Changis-Saint-Jean;116509;77660;4,1;b;Ile-de-France;232 200
Chartrettes;682419;77590;5,1;c;Ile-de-France;37 800
Chelles-Gournay;116111;77500;3,1;b;Ile-de-France;8 839 800
Combs la Ville-Quincy;682146;77380;3,1;b;Ile-de-France;3 866 400
Compans;272047;77290;5,1;c;Ile-de-France;43 148
Couilly-Saint-Germain-Quincy;116731;77860;4,1;c;Ile-de-France;64 800
Coulommiers;116301;77120;4,1;b;Ile-de-France;1 013 679
Crécy la Chapelle;116772;77580;4,1;b;Ile-de-France;167 400
Crouy sur Ourcq;116640;77840;4,1;b;Ile-de-France;140 400
Dammartin-Juilly-Saint-Mard;271536;77230;4,1;b;Ile-de-France;1 415 661
Emerainville-Pontault Combault;116046;77184;3,1;b;Ile-de-France;4 464 762
Esbly;116327;77450;4,1;b;Ile-de-France;1 787 400
Faremoutiers-Pommeuse;116277;77515;4,1;b;Ile-de-France;270 000
La Ferté sous Jouarre;116517;77260;4,1;b;Ile-de-France;1 301 400
Fontainebleau-Avon;682211;77210;4,1;b;Ile-de-France;3 766 838
Fontaine le Port;682427;77590;5,1;c;Ile-de-France;64 800
La Grande Paroisse ;682476;77130;5,1;c;Ile-de-France;54 000
Gretz Armainvilliers;116012;77220;4,1;b;Ile-de-France;907 200
Guérard La Celle sur Morin;116269;77580;5,1;b;Ile-de-France;118 800
Héricy;682435;77850;5,1;c;Ile-de-France;54 000
Isles-Armentières -Congis;116616;77440;4,1;c;Ile-de-France;81 000
Lagny-Thorigny;116319;77400;3,1;b;Ile-de-France;2 877 583
Lieusaint-Moissy;682153;77127;3,1;b;Ile-de-France;4 822 200
Livry sur Seine;682401;77000;5,1;c;Ile-de-France;75 600
Lizy sur Ourcq;116632;77440;4,1;b;Ile-de-France;237 600
Longueville;116137;77650;4,1;b;Ile-de-France;787 447
Marles en Brie;116228;77610;4,1;b;Ile-de-France;280 800
Meaux;116103;77100;3,1;b;Ile-de-France;5 853 600
Le Mée ;682179;77350;4,1;b;Ile-de-France;2 003 400
Melun;682005;77000;3,1;b;Ile-de-France;12 580 445
Mitry-Claye;271528;77290;4,1;b;Ile-de-France;2 872 800
Montereau;682302;77130;4,1;b;Ile-de-France;2 678 567
Montigny sur Loing;684100;77690;4,1;b;Ile-de-France;183 600
Montry-Condé;116400;77450;5,1;c;Ile-de-France;27 000
Moret-Veneux les Sablons;682278;77250;4,1;b;Ile-de-France;1 657 800
Mormant;116087;77720;4,1;b;Ile-de-France;302 400
Mortcerf;116244;77163;5,1;c;Ile-de-France;97 200
Mouroux;116285;77120;5,1;c;Ile-de-France;81 000
Nangis;116095;77370;4,1;b;Ile-de-France;577 800
Nanteuil-Saâcy;116558;77730;4,1;b;Ile-de-France;545 400
Nemours Saint-Pierre;684126;77140;4,1;b;Ile-de-France;1 436 756
Ozoir la Ferrière;116020;77330;4,1;b;Ile-de-France;2 143 800
Ponthierry-Pringy;682526;77310;4,1;b;Ile-de-France;351 000
Provins;116160;77160;4,1;b;Ile-de-France;480 169
Roissy en Brie;116038;77680;3,1;b;Ile-de-France;2 835 000
Sainte-Colombe-Septveilles;116178;77650;5,1;b;Ile-de-France;102 600
Saint-Fargeau;682542;77310;4,1;b;Ile-de-France;102 600
Saint-Mammès;682294;77670;5,1;b;Ile-de-France;297 000
Savigny le Temple-Nandy;682187;77176;3,1;b;Ile-de-France;3 515 400
Souppes-Château Landon;684217;77460;4,1;b;Ile-de-France;534 512
Thieux-Nantouillet;272054;77230;5,1;c;Ile-de-France;16 200
Thomery;682252;77300;5,1;b;Ile-de-France;102 600
Tournan;116210;77220;4,1;b;Ile-de-France;2 068 200
Trilport;116491;77470;4,1;b;Ile-de-France;810 000
Vaires-Torcy;116293;77360;4,1;b;Ile-de-France;2 111 400
Verneuil l'Etang;116079;77390;4,1;b;Ile-de-France;448 200
Vernou sur Seine;682468;77670;5,1;c;Ile-de-France;54 000
Villeparisis-Mitry le Neuf;271510;77270;3,1;b;Ile-de-France;3 531 600
Villiers Montbarbin;116749;77580;5,1;c;Ile-de-France;27 000
Vosves;682500;77190;5,1;c;Ile-de-France;21 600
Vulaines sur Seine Samoreau;682443;77870;5,1;c;Ile-de-France;54 000
Aéroport Charles de Gaulle 1;271460;93290;3,1;b;Ile-de-France;4 768 200
Aulnay sous Bois;271411;93600;3,1;b;Ile-de-France;20 205 521
Le Blanc Mesnil;271478;93150;4,1;b;Ile-de-France;2 910 600
Bondy;113407;93140;3,1;b;Ile-de-France;11 390 171
Le Bourget ;271395;93350;3,1;b;Ile-de-France;10 047 910
Le Chénay Gagny ;113522;93220;3,1;b;Ile-de-France;2 770 200
La Courneuve Aubervilliers ;271304;93120;3,1;b;Ile-de-France;10 508 400
Drancy;271403;93700;3,1;b;Ile-de-France;6 787 800
Epinay sur Seine;271148;93800;4,1;b;Ile-de-France;2 781 000
Epinay-Villetaneuse;271122;93800;3,1;b;Ile-de-France;11 696 283
Gagny;113514;93220;3,1;b;Ile-de-France;4 617 000
La Plaine Stade de France;164798;93200;3,1;b;Ile-de-France;12 813 858
Noisy le Sec;113217;93130;3,1;b;Ile-de-France;13 359 600
Pantin;113209;93500;3,1;b;Ile-de-France;8 121 600
Parc des Expositions;271486;93420;4,1;b;Ile-de-France;2 364 387
Pierrefitte-Stains;271163;93380;3,1;b;Ile-de-France;7 198 200
Le Raincy-Villemomble-Montfermeil ;113472;93250;3,1;b;Ile-de-France;7 738 200
Rosny Bois Perrier;113696;93110;3,1;b;Ile-de-France;5 119 200
Rosny sous Bois;113704;93110;3,1;b;Ile-de-France;4 255 200
Saint-Denis;271015;93200;3,1;b;Ile-de-France;23 518 706
Saint-Ouen;271247;93400;3,1;b;Ile-de-France;4 028 400
Sevran-Beaudottes;271445;93270;3,1;b;Ile-de-France;7 727 400
Sevran-Livry;271429;93270;3,1;b;Ile-de-France;5 227 200
Stade de France Saint-Denis;164780;93200;3,1;b;Ile-de-France;7 531 656
Vert Galant;271437;93420;3,1;b;Ile-de-France;7 511 400
Villepinte;271452;93420;4,1;b;Ile-de-France;1 783 543
Les Yvris Noisy le Grand ;113803;93160;4,1;b;Ile-de-France;831 600
Ablon;545269;94480;4,1;b;Ile-de-France;1 247 400
Les Ardoines;492108;94400;4,1;b;Ile-de-France;2 062 800
Les Boullereaux-Champigny ;113779;94500;4,1;b;Ile-de-France;2 219 400
Choisy le Roi;545285;94600;3,1;b;Ile-de-France;13 284 000
Ivry sur Seine;545301;94200;3,1;b;Ile-de-France;4 259 568
Maisons Alfort Alfortville;681155;94700;3,1;b;Ile-de-France;9 783 264
Nogent le Perreux;113746;94130;3,1;b;Ile-de-France;4 201 200
Orly Ville;546200;94310;4,1;b;Ile-de-France;1 576 800
Pont de Rungis - Aéroport d'Orly;546192;94150;4,1;b;Ile-de-France;839 713
Rungis la Fraternelle;546291;94150;4,1;b;Ile-de-France;878 496
Les Saules ;546226;94310;4,1;b;Ile-de-France;1 139 400
Val de Fontenay;113712;94120;3,1;b;Ile-de-France;15 687 000
Le Vert de Maisons;681247;94700;3,1;b;Ile-de-France;3 531 600
Villeneuve le Roi;545277;94290;4,1;b;Ile-de-France;1 490 400
Villeneuve Prairie;681858;94600;5,1;b;Ile-de-France;475 200
Villeneuve Saint-Georges;681825;94190;3,1;b;Ile-de-France;14 277 600
Villeneuve Triage;681809;94190;4,1;b;Ile-de-France;1 130 063
Villiers sur Marne Le Plessis Trévise;113795;94350;3,1;b;Ile-de-France;7 543 800
Vitry sur Seine;545293;94400;3,1;b;Ile-de-France;3 996 000
Argenteuil;381848;95100;3,1;b;Ile-de-France;13 268 609
Auvers sur Oise;276543;95430;4,1;b;Ile-de-France;108 000
La Barre Ormesson ;271171;95170;4,1;b;Ile-de-France;2 791 800
Belloy-Saint-Martin;276550;95270;4,1;b;Ile-de-France;167 400
Bessancourt;276642;95550;4,1;b;Ile-de-France;545 400
Boissy l'Aillerie;381152;95650;4,1;b;Ile-de-France;178 200
Bouffémont-Moisselles;276485;95570;4,1;b;Ile-de-France;842 400
