gare,agence,numTrain,Date Heure du train,typeTrain,dateHeure1erAffichageVoie,delaiAffichageVoieHorsRetard,delaiAffichageVoieRetardCompris,instantAffichageHorsRetard,instantAffichageRetardCompris,dernierRetardAffiche,nbrRetardsConfirmes,nbDevoiementsTotal,nbDevoiementsAffiches,nbDevoiementsNonAffiches
Lille Flandres,AG Manche-Nord,843201,05/05/2017 05:41:00,TER,05/05/2017 00:01:48,339,339,H-339.0,H-339,,0,,,
Lille Flandres,AG Manche-Nord,842900,05/05/2017 06:58:00,TER,05/05/2017 00:01:48,416,416,H-416.0,H-416,,0,,,
Lille Flandres,AG Manche-Nord,843203,05/05/2017 06:41:00,TER,05/05/2017 00:01:48,399,399,H-399.0,H-399,,0,,,
Lille Flandres,AG Manche-Nord,844804,05/05/2017 06:40:00,TER,05/05/2017 00:01:48,398,398,H-398.0,H-398,,0,,,
Lille Flandres,AG Manche-Nord,842200,05/05/2017 06:35:00,TER,05/05/2017 00:01:48,393,393,H-393.0,H-393,,0,,,
Lille Flandres,AG Manche-Nord,2529703,05/05/2017 06:55:00,TER,05/05/2017 00:01:48,413,413,H-413.0,H-413,,0,,,
Lille Flandres,AG Manche-Nord,843503,05/05/2017 06:21:00,TER,05/05/2017 00:01:48,379,379,H-379.0,H-379,,0,,,
Lille Flandres,AG Manche-Nord,1687302,05/05/2017 06:14:00,TER,05/05/2017 00:01:48,372,372,H-372.0,H-372,,0,,,
Lille Flandres,AG Manche-Nord,841800,05/05/2017 06:25:00,TER,05/05/2017 00:01:48,383,383,H-383.0,H-383,,0,,,
Lille Flandres,AG Manche-Nord,844800,05/05/2017 05:25:00,TER,05/05/2017 00:01:48,323,323,H-323.0,H-323,,0,,,
Strasbourg,AG Est-Européen,87466,05/05/2017 00:00:00,TER,05/05/2017 00:02:02,-2,-2,H+2.0,H+2,,0,,,
Strasbourg,AG Est-Européen,30383,05/05/2017 23:00:00,CAR,05/05/2017 00:02:02,1378,1378,H-1378.0,H-1378,,0,,,
Strasbourg,AG Est-Européen,30059,05/05/2017 23:10:00,CAR,05/05/2017 00:02:02,1388,1388,H-1388.0,H-1388,,0,,,
Metz Ville,AG Est-Européen,88785,05/05/2017 00:14:00,TER,05/05/2017 00:02:22,12,12,H-12.0,H-12,,0,,,
Metz Ville,AG Est-Européen,55437,05/05/2017 07:00:00,CAR,05/05/2017 00:02:22,418,418,H-418.0,H-418,,0,,,
Metz Ville,AG Est-Européen,37595,05/05/2017 00:21:00,CAR,05/05/2017 00:02:22,19,19,H-19.0,H-19,,0,,,
Metz Ville,AG Est-Européen,55145,05/05/2017 05:30:00,CAR,05/05/2017 00:02:22,328,328,H-328.0,H-328,,0,,,
Metz Ville,AG Est-Européen,55183,05/05/2017 06:45:00,CAR,05/05/2017 00:02:22,403,403,H-403.0,H-403,,0,,,
Metz Ville,AG Est-Européen,837593,05/05/2017 23:28:00,TER,05/05/2017 00:02:22,1406,1406,H-1406.0,H-1406,,0,,,
Saint-Étienne Châteaucreux,AG Centre Est Rhône Alpin,886754,05/05/2017 00:12:00,TER,05/05/2017 00:02:28,10,20,H-10.0,H-20,10:00:00,1,,,
Paris Gare du Nord,AG Ile-de-France,9388,05/05/2017 22:35:00,THALYS,05/05/2017 00:04:01,1351,1351,H-1351.0,H-1351,,0,,,
Grenoble,AG Centre Est Rhône Alpin,39551,05/05/2017 01:10:00,BUS,05/05/2017 00:10:09,60,60,H-60.0,H-60,,0,,,
Nancy,AG Est-Européen,837596,05/05/2017 00:31:00,TER,05/05/2017 00:12:10,19,19,H-19.0,H-19,,0,,,
Strasbourg,AG Est-Européen,832308,05/05/2017 00:40:00,TER,05/05/2017 00:20:11,20,20,H-20.0,H-20,,0,,,
Limoges Bénédictins,AG Sud-Ouest,3751,05/05/2017 02:06:00,INTERCITES,05/05/2017 02:36:09,-30,30,H+30.0,H-30,01:00:00,1,,,
Limoges Bénédictins,AG Sud-Ouest,3750,05/05/2017 03:04:00,INTERCITES,05/05/2017 02:44:55,19,19,H-19.0,H-19,,0,,,
Strasbourg,AG Est-Européen,452,05/05/2017 04:50:00,ELIPSOS,05/05/2017 04:34:56,15,15,H-15.0,H-15,,0,,,
Saint-Pierre-des-Corps,AG Centre-Ouest,16800,05/05/2017 05:08:00,TER,05/05/2017 04:48:05,20,20,H-20.0,H-20,,0,,,
Montpellier Saint-Roch,AG Méditerranée,6202,05/05/2017 05:16:00,TGV,05/05/2017 04:55:08,21,21,H-21.0,H-21,,0,,,
Strasbourg,AG Est-Européen,30138,05/05/2017 05:16:00,CAR,05/05/2017 04:56:11,20,20,H-20.0,H-20,,0,,,
Saint-Étienne Châteaucreux,AG Centre Est Rhône Alpin,886251,05/05/2017 05:29:00,TER,05/05/2017 04:59:07,30,30,H-30.0,H-30,,0,,,
Montpellier Saint-Roch,AG Méditerranée,876500,05/05/2017 05:25:00,TER,05/05/2017 05:05:02,20,20,H-20.0,H-20,,0,,,
Amiens,AG Manche-Nord,848300,05/05/2017 05:29:00,TER,05/05/2017 05:09:05,20,20,H-20.0,H-20,,0,,,
Paris Montparnasse,AG Ile-de-France,862400,05/05/2017 05:20:00,TER,05/05/2017 05:10:05,10,10,H-10.0,H-10,,0,,,
Montpellier Saint-Roch,AG Méditerranée,876401,05/05/2017 05:41:00,TER,05/05/2017 05:22:55,18,18,H-18.0,H-18,,0,,,
Strasbourg,AG Est-Européen,60354,05/05/2017 05:43:00,CAR,05/05/2017 05:23:07,20,20,H-20.0,H-20,,0,,,
Clermont-Ferrand,AG Centre Est Rhône Alpin,873720,05/05/2017 05:44:00,TER,05/05/2017 05:25:05,19,19,H-19.0,H-19,,0,,,
Nice,AG Méditerranée,881200,05/05/2017 05:45:00,TER,05/05/2017 05:25:10,20,20,H-20.0,H-20,,0,,,
Lens,AG Manche-Nord,846400,05/05/2017 05:47:00,TER,05/05/2017 05:27:02,20,20,H-20.0,H-20,,0,,,
Strasbourg,AG Est-Européen,1663101,05/05/2017 05:47:00,TER,05/05/2017 05:27:10,20,20,H-20.0,H-20,,0,,,
Nîmes,AG Méditerranée,6202,05/05/2017 05:52:00,TGV,05/05/2017 05:32:10,20,20,H-20.0,H-20,,0,,,
Limoges Bénédictins,AG Sud-Ouest,868200,05/05/2017 05:53:00,TER,05/05/2017 05:33:08,20,20,H-20.0,H-20,,0,,,
Chambéry - Challes-les-Eaux,AG Centre Est Rhône Alpin,96600,05/05/2017 05:54:00,TER,05/05/2017 05:35:04,19,19,H-19.0,H-19,,0,,,
Lyon Perrache,AG Centre Est Rhône Alpin,886603,05/05/2017 06:31:00,TER,05/05/2017 05:37:51,53,53,H-53.0,H-53,,0,,,
Nîmes,AG Méditerranée,876500,05/05/2017 05:58:00,TER,05/05/2017 05:38:05,20,20,H-20.0,H-20,,0,,,
Strasbourg,AG Est-Européen,832300,05/05/2017 05:58:00,TER,05/05/2017 05:38:06,20,20,H-20.0,H-20,,0,,,
Nancy,AG Est-Européen,835750,05/05/2017 05:59:00,TER,05/05/2017 05:39:43,19,19,H-19.0,H-19,,0,,,
Limoges Bénédictins,AG Sud-Ouest,3604,05/05/2017 06:00:00,INTERCITES,05/05/2017 05:40:02,20,20,H-20.0,H-20,,0,,,
Lyon Part Dieu,AG Centre Est Rhône Alpin,886800,05/05/2017 06:06:00,TER,05/05/2017 05:41:52,24,24,H-24.0,H-24,,0,,,
