gare,agence,numTrain,dateTrain,typeTrain,dateHeure1erAffichageVoie,delaiAffichageVoieHorsRetard,delaiAffichageVoieRetardCompris,instantAffichageHorsRetard,instantAffichageRetardCompris,dernierRetardAffiche,nbrRetardsConfirmes,nbDevoiementsTotal,nbDevoiementsAffiches,nbDevoiementsNonAffiches
RDN,1494468201,14,RENNES,858300,TER,40,I,,1494481980,,
RDN,1494468201,15,QUIMPER,856609,TER,40,I,,1494482520,,
RDN,1494468201,16,LORIENT,856411,TER,40,I,,1494483300,,
RDN,1494468201,17,PARIS MP,8718,TGV,30,I,,1494483600,,
RDN,1494468201,18,NANTES,858238,TER,40,I,,1494485460,,
RDN,1494468201,19,RENNES,856616,TER,40,I,,1494486420,,
RDN,1494468201,20,LILLE,5272,TGV,30,I,,1494487320,,
RGY,1494468320,1,LYON PERR.,889653,TER,40,,A,1494475200,,
RGY,1494468320,2,LYON PERR.,889655,TER,40,,A,1494478800,,
RGY,1494468320,3,ROANNE,889652,TER,40,,B,1494480120,,
RGY,1494468320,4,ROANNE,889654,TER,40,,B,1494484260,,
RGY,1494468320,5,LYON PERR.,889667,TER,40,,A,1494500400,,
RGY,1494468320,6,ROANNE,889660,TER,40,,B,1494504060,,
RGY,1494468320,7,LYON PERR.,886619,TER,40,,A,1494507600,,
RGY,1494468320,8,ROANNE,886612,TER,40,,B,1494508920,,
RGY,1494468320,9,LYON PERR.,886621,TER,40,,A,1494514800,,
RGY,1494468320,10,LYON PERR.,889677,TER,40,,A,1494518400,,
RGY,1494468320,11,ROANNE,889666,TER,40,,B,1494518460,,
RGY,1494468320,12,LYON PERR.,889675,TER,40,,A,1494522000,,
RGY,1494468320,13,ROANNE,889668,TER,40,,B,1494522060,,
RGY,1494468320,14,ROANNE,889670,TER,40,,B,1494525660,,
RGY,1494468320,15,LYON P.DIEU,39641,BUS,10,,,1494525900,,
RGY,1494468320,16,ROANNE,889674,TER,40,,B,1494529260,,
REI,1494468228,1,ANNECY,39502,BUS,10,,,1494473700,,
REI,1494468228,2,LYON P. DIEU,96552,TER,40,,A,1494475140,,
REI,1494468228,3,ANNECY,884250,TER,40,,A,1494477780,,
REI,1494468228,4,BELLEGARDE,884650,TER,40,,B,1494478800,,
REI,1494468228,5,ST GERVAIS,884601,TER,40,,A,1494478860,,
